"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2019","58,000.00","58,000.00","59,500.00","56,500.00","-","0.00%"
"Aug 13, 2019","58,000.00","58,000.00","59,500.00","56,500.00","-","-0.85%"
"Aug 12, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 09, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 08, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 07, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","0.00%"
"Aug 06, 2019","58,500.00","58,500.00","60,000.00","57,000.00","-","-0.85%"
"Aug 05, 2019","59,000.00","59,000.00","60,500.00","57,500.00","-","-0.84%"
"Aug 02, 2019","59,500.00","59,500.00","61,000.00","58,000.00","-","-1.65%"
"Aug 01, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 31, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 30, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","0.00%"
"Jul 29, 2019","60,500.00","60,500.00","62,000.00","59,000.00","-","-1.63%"
"Jul 26, 2019","61,500.00","61,500.00","63,000.00","60,000.00","-","-1.60%"
"Jul 25, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","0.00%"
"Jul 24, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","0.00%"
"Jul 23, 2019","62,500.00","62,500.00","64,000.00","61,000.00","-","-0.79%"
"Jul 22, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 19, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 18, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 17, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 16, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 15, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 12, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 11, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","0.00%"
"Jul 10, 2019","63,000.00","63,000.00","64,500.00","61,500.00","-","-0.79%"
"Jul 09, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","0.00%"
"Jul 08, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","0.00%"
"Jul 05, 2019","63,500.00","63,500.00","65,000.00","62,000.00","-","-0.78%"
"Jul 04, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 03, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 02, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","0.00%"
"Jul 01, 2019","64,000.00","64,000.00","65,500.00","62,500.00","-","-1.54%"
"Jun 28, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 27, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 26, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Jun 25, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","-1.52%"
"Jun 24, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 21, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 20, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 19, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 18, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 17, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"Jun 14, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","-0.75%"
"Jun 13, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 12, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 11, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 10, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 06, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 05, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 04, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"Jun 03, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 31, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 30, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 29, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 28, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 27, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 24, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 23, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 22, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 21, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 20, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 17, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 16, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 15, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.00%"
"May 14, 2019","66,500.00","66,500.00","68,000.00","65,000.00","-","0.76%"
"May 13, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 10, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 09, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 08, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.00%"
"May 07, 2019","66,000.00","66,000.00","67,500.00","64,500.00","-","0.76%"
"May 06, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Apr 30, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Apr 29, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.77%"
"Apr 26, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 25, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 24, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
